jump_rate,method_a,method_b,param,delta_mae,ci_lo,ci_hi,n_paired,significant
0.0,MLE,LSTM-robust,theta,0.006751908300071713,0.0029959636332273017,0.011014262808644936,200,True
0.0,MLE,LSTM-robust,sigma,-0.016749461786268887,-0.02454883681794638,-0.008894691017248255,200,True
0.0,t-MLE,LSTM-robust,theta,0.00771923006224465,0.003876789409111322,0.011535160535544531,200,True
0.0,t-MLE,LSTM-robust,sigma,0.08127777950996974,0.07262629553272425,0.08923617288947273,200,True
0.0,t-MLE(df*),LSTM-robust,theta,0.0070000192869334645,0.0031375263720487506,0.011029254816326542,200,True
0.0,t-MLE(df*),LSTM-robust,sigma,-0.02036400774761431,-0.027146077970374435,-0.013803206710715556,200,True
0.0,LSTM,LSTM-robust,theta,-0.0008716915220953526,-0.0017068423881288616,-8.46294612926444e-05,200,True
0.0,LSTM,LSTM-robust,sigma,-0.010117575398563195,-0.0164016481767546,-0.003708204809880482,200,True
0.02,MLE,LSTM-robust,theta,0.37479135651616974,0.3419786125309621,0.40944902553877166,200,True
0.02,MLE,LSTM-robust,sigma,1.955435243959081,1.7962421367292105,2.1315834166393293,200,True
0.02,t-MLE,LSTM-robust,theta,0.020956264413325053,0.016071834573246666,0.02606607120361573,200,True
0.02,t-MLE,LSTM-robust,sigma,-0.022017863183842756,-0.030577826883810104,-0.01313788600976999,200,True
0.02,t-MLE(df*),LSTM-robust,theta,0.01796302712177945,0.013242314644120696,0.02293445986054759,200,True
0.02,t-MLE(df*),LSTM-robust,sigma,0.06886602694769842,0.05873897161889546,0.07972209487977328,200,True
0.02,LSTM,LSTM-robust,theta,0.023840261095901948,0.01732423665879643,0.030713739203299617,200,True
0.02,LSTM,LSTM-robust,sigma,0.5249101856324251,0.4623989873332312,0.5868071540558489,200,True
0.05,MLE,LSTM-robust,theta,0.8921061549277945,0.8464498309602378,0.9407951576887152,200,True
0.05,MLE,LSTM-robust,sigma,4.550350021370346,4.312802845761097,4.801910390126259,200,True
0.05,t-MLE,LSTM-robust,theta,0.06271919523411246,0.05503630189148542,0.07101422354519019,200,True
0.05,t-MLE,LSTM-robust,sigma,0.12043490469153575,0.10476472677318965,0.13628006420574945,200,True
0.05,t-MLE(df*),LSTM-robust,theta,0.04523215898977306,0.03721346656178802,0.05372931279925918,200,True
0.05,t-MLE(df*),LSTM-robust,sigma,-0.020224009485868426,-0.030135205285394952,-0.009871095357986179,200,True
0.05,LSTM,LSTM-robust,theta,0.10749171709436924,0.09728126469968118,0.11768204204138717,200,True
0.05,LSTM,LSTM-robust,sigma,1.4411487781687984,1.335360597399074,1.554775414897114,200,True
0.1,MLE,LSTM-robust,theta,2.0022555338633636,1.6394827724917562,2.478674113494491,200,True
0.1,MLE,LSTM-robust,sigma,8.643665369116663,8.060238589727405,9.347456903527972,200,True
0.1,t-MLE,LSTM-robust,theta,0.4256523832960849,0.3714035381780118,0.4806588354693611,200,True
0.1,t-MLE,LSTM-robust,sigma,1.3078088058614799,1.1982220968468018,1.4240527586142984,200,True
0.1,t-MLE(df*),LSTM-robust,theta,0.10205944159737727,0.09250807945216075,0.11197153906364617,200,True
0.1,t-MLE(df*),LSTM-robust,sigma,0.19494090269071948,0.17624037393207598,0.2136025186694377,200,True
0.1,LSTM,LSTM-robust,theta,0.23106165072713047,0.22196699835231296,0.24069193712491077,200,True
0.1,LSTM,LSTM-robust,sigma,2.780383316430644,2.6312277486687923,2.928841213967132,200,True
